Id,Title,Episode,Season,Episode Code,Category,Entrepreneurs,Location,City,State,Website,Amount Asked For,Exchange For Stake,Valuation,Shark 1,Shark 2,Shark 3,Shark 4,Shark 5,Deal Status,Shark(s) That Made a Deal,Deal Shark 1,Deal Shark 2,Deal Shark 3,Deal Shark 4,Deal Shark 5,Multiple Entreprenuers,Description
27,Element Bars,6,1,106,Specialty Food,Jonathan Miller,"Chicago, IL",Chicago, IL,http://www.elementbars.com/,150000,0.15,1000000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Kevin Harrington,Deal Made,Others,Others,,,,,FALSE,"Made-to-order energy bars made with whole, natural ingredients. Customers can choose the ingredients that go into their highly personalized bars."
28,The Fizz,6,1,106,Non-Alcoholic Beverages,David Chodosh,"Manhattan, CA",Manhattan, CA,http://www.icecreamfizz.com/,150000,0.25,600000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Kevin Harrington,No Deal Made,,,,,,,FALSE,"Pitched as a ""root beer float in a bottle""."
29,Pork Barrel BBQ,6,1,106,Specialty Food,Heath Hall and Brett Thompson,"Alexandria, VA",Alexandria, VA,http://porkbarrelbbq.com/,50000,0.1,500000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Kevin Harrington,Deal Made,BC,Barbara Corcoran,,,,,TRUE,Sells award-winning barbecue spice and rub products.
30,Charcoal Underwear,6,1,106,Undergarments and Basics,Buck and Arlene Weimer,"Pueblo, CO",Pueblo, CO,http://under-tec.com/,55000,0.25,220000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Kevin Harrington,No Deal Made,,,,,,,TRUE,"Underwear designed to minimize the odor of flatulence, made of airtight material with elastic around the legs and a filter in the back."
31,Boogie Box Fitness,7,1,107,Fitness Programs,Dedelle Parra (now Dede Barbanti) and Kathy Lamm,"Ladera Ranch, CA",Ladera Ranch, CA,http://www.bbxinc.com/,700000,0.7,1000000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Kevin Harrington,No Deal Made,,,,,,,TRUE,A fitness program fusing dance routines.
32,The Fun House Project,7,1,107,Entertainment,Todd Robbins and David Adamovich,"New York, NY",New York, NY,,300000,0.2,1500000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Kevin Harrington,No Deal Made,,,,,,,TRUE,Concept for a live entertainment and amusement attraction in the Times Square area with five venues featuring restaurants and entertainment.
33,Grill Charms,7,1,107,Kitchen Tools,Leslie Haywood,"Charleston, SC",Charleston, SC,http://www.grillcharms.com,50000,0.25,200000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Kevin Harrington,Deal Made,RH,Robert Herjavec,,,,,FALSE,Stainless steel identifying charms that you stick in your food before you grill.
34,Soy-Yer Dough,7,1,107,Toys and Games,Sawyer Sparks,"Bloomfield, IN",Bloomfield, IN,http://www.soy-yer.com/,125000,0.25,500000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Kevin Harrington,Deal Made,DJ+KOL+RH,Kevin O'Leary,Daymond John,Robert Herjavec,,,FALSE,"A wheat-free soy-based modeling clay, designed for children with wheat allergies."
35,Throx,8,1,108,Undergarments and Basics,Edwin Heaven,"San Francisco, CA",San Francisco, CA,http://www.throx.com,50000,0.25,200000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Kevin Harrington,No Deal Made,,,,,,,FALSE,"A company selling socks in ""pairs"" of three instead of two, aiming to preempt the problem of the missing sock."
36,Washed Up Hollywood,8,1,108,Fashion Accessories,Danon Beres,"Huntington Beach, CA",Huntington Beach, CA,,500000,0.25,2000000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Kevin Harrington,No Deal Made,,,,,,,FALSE,Fashion accessories company focused on its unique hardware buckles and belts.
