Id,Title,Episode,Season,Episode Code,Category,Entrepreneurs,Location,City,State,Website,Amount Asked For,Exchange For Stake,Valuation,Shark 1,Shark 2,Shark 3,Shark 4,Shark 5,Deal Status,Shark(s) That Made a Deal,Deal Shark 1,Deal Shark 2,Deal Shark 3,Deal Shark 4,Deal Shark 5,Multiple Entreprenuers,Description
284,Total Merchant Resources,6,5,506,Professional Services,,"Piscataway, NJ",Piscataway, NJ,http://www.totalmerchantresources.com,200000,0.2,1000000,Lori Greiner,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,Deal Made,KOL,Kevin O'Leary,,,,,FALSE,Alternative financing solutions for small businesses.
285,Elephant Chat,6,5,506,Novelties,,"McKinney, TX",McKinney, TX,http://www.elephantchat.com,50000,0.2,250000,Lori Greiner,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,No Deal Made,,,,,,,FALSE,"Elephant Chat encourages couples to address the ""elephant in the room"". This plush toy elephant helps couples start conversations about divisive issues that they might otherwise struggle to bring up. How do you use Elephant Chat? Just place the toy elephant someplace visible in your home whenever there's something you and your partner need to discuss. Every couple is different, and while Elephant Chat might not be right for everyone, the married duo behind this product have brought it to market because of the positive results that they themselves have experienced in their communications."
286,Kymera Body Board,7,5,507,Outdoor Recreation,,"Los Angeles, CA",Los Angeles, CA,http://www.kymerabodyboard.com,250000,0.2,1250000,Lori Greiner,Kevin O'Leary,Daymond John,Mark Cuban,John Paul DeJoria,No Deal Made,,,,,,,FALSE,"An all-electric, jet-propelled body board."
287,Tree T Pee,7,5,507,Gardening,John (Johnny) G. Georges,"Arcadia, FL",Arcadia, FL,http://www.treetpee.com,150000,0.2,750000,Lori Greiner,Kevin O'Leary,Daymond John,Mark Cuban,John Paul DeJoria,Deal Made,Others,Others,,,,,FALSE,Tree T Pee is an agricultural water conservation and frost protection device.
288,180 Cup,7,5,507,Party Supplies,,"New York, NY",New York, NY,http://180cup.com,300000,0.15,2000000,Lori Greiner,Kevin O'Leary,Daymond John,Mark Cuban,John Paul DeJoria,Deal Made,DJ,Daymond John,,,,,FALSE,"180CUP is the party time MVP. Just a normal plastic drinking cup at first glance, the 180CUP transforms into a shot glass with a quick flip. With its clever design and bright colors, 180CUP adds to the festive atmosphere while it serves as a drinking cup, shot glass, measuring cup, ash tray, and any other uses your party guests can discover. 180CUP is perfect for picnics, tailgates, and all your other social gatherings."
289,Better Life,7,5,507,Storage and Cleaning Products,Tim Barklage and Kevin Tibbs,"St. Louis, MO",St. Louis, MO,http://www.cleanhappens.com,400000,0.07,5714286,Lori Greiner,Kevin O'Leary,Daymond John,Mark Cuban,John Paul DeJoria,Deal Made,LG,Lori Greiner,,,,,TRUE,"Better Life produces all-natural cleaning products, including all-purpose cleaners, specialty surface cleaners, soaps and lotions. The company's mission is to make the safest and most effective home cleaning products on the market. Better Life cleaning products are cruelty-free and made in the USA."
290,Schulzies Bread Pudding,8,5,508,Specialty Food,Sarah Schulz,"San Francisco, CA",San Francisco, CA,http://schulziesbreadpudding.com,160000,0.2,800000,Lori Greiner,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Mark Cuban,No Deal Made,,,,,,,FALSE,Bread pudding reimagined in 108 flavors.
291,Pet Paint,8,5,508,Pet Products,,"Ventura, CA",Ventura, CA,http://www.petpaint.com,200000,0.2,1000000,Lori Greiner,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Mark Cuban,No Deal Made,,,,,,,FALSE,Color spray made with ingredients safe for use on dogs.
292,Bellybuds,8,5,508,Maternity,,"Los Angeles, CA",Los Angeles, CA,http://www.bellybuds.com,500000,0.13,4000000,Lori Greiner,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Mark Cuban,No Deal Made,,,,,,,FALSE,"Bellybuds is a sound system for your baby, in utero! Babies begin to develop hearing and memories well before birth, but most sounds are muffled, with the exception of the mother's voice. Bellybuds changes that by providing a means for audio stimulation to reach them through the womb. The specially-designed speakers adhere to the belly and safely play music, messages from family, or other soothing sounds of your choosing."
293,Paparazzi Proposals,8,5,508,Weddings,,"New York, NY",New York, NY,http://www.paparazzi-proposals.com,250000,0.2,1250000,Lori Greiner,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Mark Cuban,Deal Made,Others,Others,,,,,FALSE,"Paparazzi Proposals helps plan and execute memorable marriage proposals and capture the memories for posterity. Whether it's something simple and intimate or a big production, Paparazzi Proposals can help make it happen and ensure you have pictures and video to remember the moment."
294,DoorBot,9,5,509,Home Security Solutions,,"Santa Monica, CA",Santa Monica, CA,http://www.getdoorbot.com,700000,0.1,7000000,Lori Greiner,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,No Deal Made,,,,,,,FALSE,"Doorbot (now Ring), is a Wi-Fi enabled video doorbell that allows the owner to communicate with visitors and grant access remotely using their smartphone or tablet."
295,Slawsa,9,5,509,Specialty Food,,"Cramerton, NC",Cramerton, NC,http://www.slawsa.com,150000,0.15,1000000,Lori Greiner,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,No Deal Made,,,,,,,FALSE,"It's slaw, it's salsa--no! It's Slawsa! Meet this bold new condiment category that blends the best elements of slaw and salsa to produce a healthy and flavorful snack topping. Use it in place of relish on burgers and hot dogs, slather it on sandwiches, or dip your tortilla chips in it, there are limitless ways to enjoy the deliciousness. Slawsa comes in a variety of flavors with a salsa base, but they all have the cabbage backbone that underlies any slaw worth its name."
296,Magical Moments,9,5,509,Online Services,,"Detroit, MI",Detroit, MI,http://www.magicmoments.com,500000,0.15,3333333,Lori Greiner,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,No Deal Made,,,,,,,FALSE,"An iPhone app and online marketplace that enables users to turn their pitches into products they can buy, sell and share."
297,Surprise Ride,9,5,509,Toys and Games,,"Washington, DC",Washington, DC,http://www.surpriseride.com,110000,0.1,1100000,Lori Greiner,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,No Deal Made,,,,,,,FALSE,"Surprise Ride is a one-of-a-kind subscription service for activities. Each month, Surprise Ride delivers a box full of supplies, lessons and instructions for activities following a theme. From penguins to volcanoes, ancient Egypt, gardening, and space, Surprise Ride is full of ways to nurture and encourage creativity and learning in a playful spirit."
298,Chocomize,10,5,510,Specialty Food,,"Long Island City, NY",Long Island City, NY,http://www.chocomize.com,500000,0.2,2500000,Lori Greiner,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Mark Cuban,No Deal Made,,,,,,,FALSE,"Order unique chocolate bars online, customized down to the very last detail. The Chocomize business is to deliver on-demand custom chocolates direct to the consumer. You can select the type of base chocolate and choose from a wide variety of toppings with up to 300 million possible combinations.  Chocomize also caters to corporate customers looking for unique promotional gifts, as Chocomize's chocolate bars and packaging can also be customized to include their company logo."
299,Yubo,10,5,510,Toys and Games,"Cyndi Pedrazzi, Paul Pedrazzi, and Dan Harden","San Ramon, CA",San Ramon, CA,http://www.getyubo.com,150000,0.15,1000000,Lori Greiner,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Mark Cuban,Deal Made,KOL+RH,Kevin O'Leary,Robert Herjavec,,,,TRUE,"Yubo is a better and brighter lunchbox that kids and their parents can appreciate. Children love the interchangeable inserts that go into the front panel, which allows them to change the look of the lunchbox when they please. Parents love that they don't have to buy another lunchbox again! Designed for maximum style and cleanliness, Yubo is also easy to wipe down or even toss in the dishwasher."
300,PurseCase,10,5,510,Women's Accessories,Kelley Coughlan and Jenn Deese,"Los Angeles, CA",Los Angeles, CA,http://pursecase.com,55000,0.12,458333,Lori Greiner,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Mark Cuban,Deal Made,LG,Lori Greiner,,,,,TRUE,"Pursecase is an ultra-minimalist purse, built to have room for just your phone and precious few other essentials, such as a bit of cash, your ID and a credit card or two. Not to skimp on style, Pursecase has an attractive chain handle to complete the purse-like look and feel."
301,Grace & Lace,10,5,510,Women's Accessories,,"Austin, TX",Austin, TX,http://www.graceandlace.com,175000,0.1,1750000,Lori Greiner,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Mark Cuban,Deal Made,BC,Barbara Corcoran,,,,,FALSE,"Grace and Lace makes fashion-forward frilly socks, scarves and hair accessories. The company grew off the surge in popularity of the layered look of frilly socks peeking out of boots. Grace and Lace also helps the less fortunate. The company puts a portion of every sales into building orphanages in India."
302,Virtuix Omni,11,5,511,Electronics,,"Houston, TX",Houston, TX,http://www.virtuix.com,2000000,0.1,20000000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,No Deal Made,,,,,,,FALSE,Virtuix Omni is a virtual reality platform based on an omni-directional treadmill that allows the user to move in any direction within their video game. The ability to move naturally within their virtual worlds gives gamers the most thoroughly immersive experience available today.
303,Fohawx,11,5,511,Baby and Child Care,,"New York, NY",New York, NY,,150000,0.3,500000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,No Deal Made,,,,,,,FALSE,"A line of cool accessories that can easily attach to any kind of safety helmet, transforming it from a chore into a fashion statement."
304,SpiritHoods,11,5,511,Fashion Accessories,,"Los Angeles, CA",Los Angeles, CA,https://www.spirithoods.com,450000,0.15,3000000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,No Deal Made,,,,,,,FALSE,"SpiritHoods are unique accessories that work as a combination of hat, gloves, and scarf. Make in California out of premium faux fur, each SpiritHood is modeled after a specific animal, and 10% of net profits are donated towards the conservation of endangered species."
305,Bubba's Q BBQ,11,5,511,Specialty Food,Al Bubba Baker,"Avon, OH",Avon, OH,http://www.bubbasbonelessribs.com,300000,0.15,2000000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,Deal Made,DJ,Daymond John,,,,,FALSE,"Bubba's Q BBQ has a proprietary way to prepare and package fully cooked, de-boned baby back ribs. They package these for sale, ready to enjoy after a quick blast in the microwave. Consumers can now enjoy these fully cooked pork ribs with a knife and fork in their own kitchen, as speedily as anything else they might throw in the microwave. The bones are hand-removed before being packaged ensuring the highest quality experience. For extra flavor, you can also opt to cook these boneless ribs in the oven or on the grill. Since they are pre-cooked, they will heat up quickly, in about three to five minutes for each side."
306,Cashmere Hair,12,5,512,Personal Care and Cosmetics,Rachel and Melissa,"Beverly Hills, CA",Beverly Hills, CA,http://cashmerehairextensions.com,45000,0.15,300000,Lori Greiner,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,No Deal Made,,,,,,,TRUE,"Cashmere Hair produces premium-quality hair extensions with a unique clip-in system that makes them easier and safer to apply and remove than any other. Based in Beverly Hills,  Cashmere Hair's extensions are made of 100% human hair and available in a range of colors to suit any woman in need. Cashmere Hair extensions can also be cut and textured to customize the look and blend in expertly with any woman's natural hair."
307,Lite-Netics,12,5,512,Holiday Cheer,,"Lubbock, TX",Lubbock, TX,http://litenetics.com,125000,0.2,625000,Lori Greiner,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,No Deal Made,,,,,,,FALSE,Christmas lights strands magnetized at each bulb for easy setup.
308,Tipsy Elves,12,5,512,Holiday Cheer,,"San Diego, CA",San Diego, CA,http://www.tipsyelves.com,100000,0.05,2000000,Lori Greiner,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,Deal Made,RH,Robert Herjavec,,,,,FALSE,"Tipsy Elves is a witty brand of clothing that produces items with humorous and irreverent designs. The company started out focused on producing their own modern twist on the ugly sweater. Since receiving their Shark Tank investment from Robert, the Tipsy Elves has expanded outside of holiday-themed clothing but they remain committed to producing high-quality, apparel for men and women, always with a tongue-in-cheek tone. Great for all kinds of gatherings, from ugly sweater parties, to spirit week, to 4th of July cookouts, to St. Patrick's Day pub crawls, and more. Tipsy Elves also produces collegiate clothing, and has partnered with a number of colleges and universities to produce branded sweaters in their school colors."
309,The Hanukkah Tree Topper,12,5,512,Holiday Cheer,Morri Chowaiki,"San Diego, CA",San Diego, CA,http://mytreetopper.com,50000,0.15,333333,Lori Greiner,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,Deal Made,DJ,Daymond John,,,,,FALSE,"A Christmas tree topper in the form of a Star of David, for interfaith families to fuse their holidays and celebrate together."
310,Eyebloc,13,5,513,Novelties,,"Washington, DC",Washington, DC,http://eyebloc.com,50000,0.1,500000,Lori Greiner,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,No Deal Made,,,,,,,FALSE,Eyebloc is an adhesive-free cover for built-in laptop cameras.
311,Bounce Boot Camp,13,5,513,Baby and Children's Entertainment,Thomas Hill,"Scottsdale, AZ",Scottsdale, AZ,http://www.bouncebootcamp.com,30000,0.2,150000,Lori Greiner,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,No Deal Made,,,,,,,FALSE,"Bounce Boot Camp uses inflatable bounce houses as fitness equipment. NFL player Thomas Hill runs Bounce Boot Camp, bringing his athletic expertise and passion for fitness to help people get fit in an original and fun way."
312,Groovebook,13,5,513,Consumer Services,,"Los Angeles, CA",Los Angeles, CA,http://groovebook.com,150000,0.2,750000,Lori Greiner,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,Deal Made,KOL+MC,Mark Cuban,Kevin O'Leary,,,,FALSE,An online service from which you can inexpensively order prints of your photos straight from your phone.
313,Wall Rx,13,5,513,Home Improvement,,"Wilmington, DE",Wilmington, DE,http://www.walldoctor.com,150000,0.1,1500000,Lori Greiner,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,Deal Made,RH,Robert Herjavec,,,,,FALSE,"Wall Rx is a powerful yet simple way to repair walls. Retailing for less than $10, Wall Rx provides wall repair kits that can fix damage up to 4 inches wide. Easier than regular spackle or plaster, and certainly less expensive than hiring a professional, Wall Rx kits include everything you need to make it look like nothing happened there at all. The kits bring a clear disc, a frame with a special drywall compound, and sandpaper. You won't need to spend money on any other tools to get your wall looking like new again."
314,Alaska Glacial Mud Co.,14,5,514,Personal Care and Cosmetics,Lauren Padawer,"Cordova, AK",Cordova, AK,http://www.alaskaglacialmud.com,100000,0.2,500000,Lori Greiner,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Mark Cuban,No Deal Made,,,,,,,FALSE,"Harvested from the nutrient-rich shores of the Arctic wilderness, Alaska Glacial Mud products offer moisturizing, anti-aging, and protective properties for your skin. Run by an energetic and self-reliant commercial fisherman by the name of Lauren Padawer, Alaska Glacial Mud is a premium line of all-natural personal care products enriched with organic and wild botanical extracts from the Copper River, and embodies the natural beauty and spirit of the Pacific Northwest."
315,Invisiplug,14,5,514,Home Accessories,Mike Barzman and Bryan O'Connell,"Los Angeles, CA",Los Angeles, CA,http://www.invisiplug.com,125000,0.1,1250000,Lori Greiner,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Mark Cuban,Deal Made,LG,Lori Greiner,,,,,TRUE,"invisiPlug makes powerstrips that seamlessly blend into your hardwood floors. How do they pass unnoticed when most power strips are eyesores? Simple, invisiPlug is the chameleon among power strips. They are literally made in wood-colored finishes such as Medium Cherry and Dark Oak, so they match the color and textures of your actual floor."
316,Balloon Distractions,14,5,514,Baby and Children's Entertainment,,"Lutz, FL",Lutz, FL,http://www.balloondistractions.com,250000,0.3,833333,Lori Greiner,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Mark Cuban,No Deal Made,,,,,,,FALSE,A company that books balloon artists to entertain children at dining establishments.
317,Locker Bones,14,5,514,Storage and Cleaning Products,Greg Cronin and Dr. Stephen Coachys,"Clinton, MS",Clinton, MS,http://lockerbones.com,175000,0.1,1750000,Lori Greiner,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Mark Cuban,Deal Made,LG+RH,Robert Herjavec,Lori Greiner,,,,TRUE,"School lockers can be a mess, can't they? It's not anyone's fault, because it's just plain difficult to keep things orderly when there's no structure. This father-daughter team devised a solution. LockerBones are shelves for your locker. This unique shelving system has pieces that fit together like a puzzle, making it easy to assemble and resulting in sturdy shelves that keep all your school essentials in their place."
318,Freshly Picked,15,5,515,Baby and Children's Apparel and Accessories,Susan Petersen,"Provo, UT",Provo, UT,http://freshlypicked.com,150000,0.1,1500000,Lori Greiner,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,Deal Made,DJ,Daymond John,,,,,FALSE,Quality baby moccassins.
319,FitDeck,15,5,515,Fitness Programs,Phil Black,"San Diego, CA",San Diego, CA,https://fitdeck.com,300000,0.2,1500000,Lori Greiner,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,No Deal Made,,,,,,,FALSE,"FitDeck creates new workout routines on the go. Choose between a deck of cards or an iPhone app and off you go! Each time you shuffle the cards or run the app, FitDeck devises a new combination of 40 different exercises, accompanied by illustrated instructions to perform them effectively and safely. Portable and fun, FitDeck keeps your workout routine fresh and varied."
320,SwimZip,15,5,515,Baby and Child Care,Betsy Johnson (Wanless),"Kansas City, KS",Kansas City, KS,http://www.swimzip.com,60000,0.05,1200000,Lori Greiner,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,Deal Made,LG,Lori Greiner,,,,,FALSE,"SwimZip is sun protection that's easy to put on, and that goes a long way when you're dealing with toddlers! With its signature zipper down the front, SwimZip goes on in a zippy jiffy to provide ample sun protection for babies, toddlers, and fast-growing big kids. This sun-protective clothing is also designed to be stylish yet affordable, making it a no-brainer to stay sun-safe."
321,Life Caps,15,5,515,Homeopathic Remedies,,"Salt Lake City, UT",Salt Lake City, UT,https://www.lifecaps.net,200000,0.3,666667,Lori Greiner,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,No Deal Made,,,,,,,FALSE,Chewable caplets that aim to reduce appetite.
322,Cycloramic,16,5,516,Mobile Apps,,"Atlanta, GA",Atlanta, GA,http://cycloramic.com,90000,0.05,1800000,Lori Greiner,Steve Tisch,Kevin O'Leary,Daymond John,Mark Cuban,Deal Made,LG+MC,Mark Cuban,Lori Greiner,,,,FALSE,"The Cycloramic app cleverly makes use of your iPhone's vibrating motor to make 360-degree panoramic images, no need for a tripod, swivel or any other accessories required. Available on the iTunes App Store, the Cycloramic app is programmed to make the phone spin and take pictures on its own account. As a user, just stand your iPhone on a flat surface and press GO. The iPhone will take multiple pictures while rotating and later stitch them together into a striking panorama and opening the image in an immersive 3D viewer."
323,Cow Wow,16,5,516,Baby and Children's Food,,"Los Angeles, CA",Los Angeles, CA,http://cowwownow.com,250000,0.1,2500000,Lori Greiner,Steve Tisch,Kevin O'Leary,Daymond John,Mark Cuban,No Deal Made,,,,,,,FALSE,"Single-serve milk treat for kids, flavored to taste like cereal milk."
324,The Cookie Dough Cafe,16,5,516,Specialty Food,,"Normal, IL",Normal, IL,http://www.thecookiedoughcafe.com,50000,0.2,250000,Lori Greiner,Steve Tisch,Kevin O'Leary,Daymond John,Mark Cuban,Deal Made,LG,Lori Greiner,,,,,FALSE,Gourmet cookie dough made to be eaten and enjoyed without baking.
325,Nexersys,16,5,516,Fitness Equipment,Terry Jones,"Austin, TX",Austin, TX,http://nexersys.com,2000000,0.1,20000000,Lori Greiner,Steve Tisch,Kevin O'Leary,Daymond John,Mark Cuban,No Deal Made,,,,,,,FALSE,"Nexersys is at the intersection of gaming and exercising, what they call the growing exer-gaming market. Nexersys provides unique fitness equipment for home gyms, commercial gyms, and arcades. Their machines feature a large screen display and a number of padded targets that users interact with. From the display, Nexersys delivers fitness routines and a virtual trainer to take the user through high-intensity intervals."
326,DDP Yoga,17,5,517,Fitness Programs,Diamond Dallas Page,"Atlanta, GA",Atlanta, GA,http://ddpyoga.com,200000,0.05,4000000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,No Deal Made,,,,,,,FALSE,"Diamond Dallas Page puts the DDP in DDP Yoga. This three-time World Championship Wrestling Heavyweight Champion designed DDP Yoga to aid in his recovery from a severe back injury. This program combines the best elements of traditional fitness training, sports therapy, yoga  flows, and dynamic resistance to create a workout that is highly effective while having minimal impact on joints and ligaments."
327,Southern Culture Artisan Foods,17,5,517,Specialty Food,Erica Barrett,"Atlanta, GA",Atlanta, GA,http://southernculturefoods.com,100000,0.25,400000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,Deal Made,BC,Barbara Corcoran,,,,,FALSE,"Southern Culture Foods makes flavored pancake and waffle mixes and other breakfast products. As a company, Souther Culture Foods wants to change how people think about breakfast, and stands for natural breakfast lifestyle products, including a seasoning blend for bacon called Bacon Rub."
328,Spy Escape and Evasion,17,5,517,Professional Services,Jason Hanson,"Cedar City, UT",Cedar City, UT,http://spyescapeandevasion.com,100000,0.15,666667,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,Deal Made,DJ,Daymond John,,,,,FALSE,A safety and survival course developed by former CIA officer.
329,Moberi,17,5,517,Specialty Food,,"Portland, OR",Portland, OR,http://moberismoothies.com,50000,0.15,333333,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,No Deal Made,,,,,,,FALSE,"Moberi isn't just a smoothie, it's a lifestyle, and it's about being healthy, having fun, and of course, making delicious drinks. Based in Portland, these food carts are bicycle-powered smoothie-making stations. Customers are encouraged to hop on the bike to power the mixer that blends their smoothies, or they can stand back and let the staff do the pedaling."
330,Cheekd,18,5,518,Consumer Services,Lori Cheek,"New York, NY",New York, NY,http://cheekd.com,100000,0.1,1000000,Lori Greiner,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Mark Cuban,No Deal Made,,,,,,,FALSE,"Cheeked bridges the gap between online dating and real-world romance. Members are instructed to distribute special-made cards to prospective dates they meet in ""real life"" in order to entice them to flirt online."
331,Buzzy4Shots,18,5,518,Baby and Child Care,Dr. Amy Baxter,"Atlanta, GA",Atlanta, GA,http://buzzy4shots.com,500000,0.05,10000000,Lori Greiner,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Mark Cuban,No Deal Made,,,,,,,FALSE,"Buzzy helps administer shots comfortably to kids and anyone who's made uncomfortable by the prospect of getting pricked. Created by a pediatrician, Buzzy blocks pain with high frequency vibration and built-in ice packs, making those necessary but unpleasant shots less stressful than ever."
332,Zip It Bedding,18,5,518,Baby and Children's Bedding,,"Pasadena, CA",Pasadena, CA,https://www.zipitbedding.com,75000,0.2,375000,Lori Greiner,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Mark Cuban,No Deal Made,,,,,,,FALSE,"Children's bedding designed to make it simple to make the bed. In one step, the bed can be zipped up to look neat and orderly again."
333,Bambooee,18,5,518,Storage and Cleaning Products,,"Los Angeles, CA",Los Angeles, CA,http://www.bambooee.com,200000,0.1,2000000,Lori Greiner,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Mark Cuban,Deal Made,LG,Lori Greiner,,,,,FALSE,"Bambooee is a strong, absorbent, and reusable alternative to paper towels. Made from bamboo, Bambooee sheets have the appearance of regular paper towels, but they're reusable and even machine-washable. Each roll of Bambooee sheets comes with 20 sheets, which replaces up to 60 paper towel rolls. These reusable cloths don't just save you money, they reduce waste. Every roll of Bambooee is made from sustainably-sourced organic bamboo."
334,Squeeky Knees,19,5,519,Baby and Children's Apparel and Accessories,,"Los Angeles, CA",Los Angeles, CA,http://www.squeekyknees.com,80000,0.2,400000,Lori Greiner,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,No Deal Made,,,,,,,FALSE,"Ever wanted to put a bell your baby so you can hear where they're getting into at all times? Squeeky Knees has made something even better: stylish baby clothes with knee pads that make a fun squeaky sound as the kids crawl. The knee pads provide protection and amusing sounds that babies love, and that parents can use to help them supervise."
335,Buffer Bit,19,5,519,Automotive,,"La Grange, IL",La Grange, IL,http://www.bufferbit.com,75000,0.25,300000,Lori Greiner,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,No Deal Made,,,,,,,FALSE,"The Buffer Bit brings the power of your drill bit to the activities of shoe shining and automotive detailing. The Buffer Bit attaches to any cordless drill to produce outstanding shine and polish to shoes, cars, motorcycles, and boats."
336,Revolights,19,5,519,Cycling,Kent Frankovich,"Emeryville, CA",Emeryville, CA,http://revolights.com,150000,0.1,1500000,Lori Greiner,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,Deal Made,RH,Robert Herjavec,,,,,FALSE,RevoLights provides the ultimate bicycle lighting system for safety and visibility. These programmed light rings attach to your wheels. RevoLights illuminate the path ahead for the rider and function as brake lights like no other system.
337,U-Lace,19,5,519,Baby and Children's Apparel and Accessories,,"Rochester, NY",Rochester, NY,http://www.u-lace.com,200000,0.25,800000,Lori Greiner,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,Deal Made,MC,Mark Cuban,,,,,FALSE,"U-Lace makes elastic shoelace inserts that you can customize according to different colors and patterns. U-Lace transforms any pair of sneakers into slip-on shoes, reinventing the whole look in the process."
338,Henry's Humdingers,20,5,520,Specialty Food,,"Burlington, WA",Burlington, WA,http://www.henryshumdingers.com,150000,0.25,600000,Lori Greiner,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Mark Cuban,Deal Made,MC+RH,Mark Cuban,Robert Herjavec,,,,FALSE,"As an 10-year-old, Henry learned about Colony Collapse Disorder from a local beekeper in Western Washington. For his 11th birthday, he asked for (and received) a beehive. The rest is history. Henry has created a line of all-natural spiced honey, harvested from his very own apiary. You can get Henry's Humdingers in any of four flavors: Grumpy Grandpa (red pepper and garlic), Naughty Nana (spicy ginger), Phoebe's Fireball (chipotle and cinnamon), and Diabolical Dad (habanero and lime). A portion of the profits goes the Foundation for the Preservation of Honey Bees. Not sure what you would even do with spicy honey? Visit Henry's website for recipes!"
339,Define Bottle,20,5,520,Water Bottles,Carter Kostler,"Virginia Beach, VA",Virginia Beach, VA,http://www.definebottle.com,100000,0.2,500000,Lori Greiner,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Mark Cuban,No Deal Made,,,,,,,FALSE,"With the Define Bottle, you can make your own fruit-infused water to take on-the-go. The striking and eco-friendly design makes a fashion statement while allowing for any desired combination of fresh fruit, teas and herbal infusions. A great way to sidestep tempting sugary drinks like sodas, the Define Bottle is available in several sizes ranging from the ultra-portable 7-oz model to the full-sized 17 oz. bottle."
340,iReTron,20,5,520,Consumer Services,,"Los Gatos, CA",Los Gatos, CA,https://www.iretron.com,100000,0.2,500000,Lori Greiner,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Mark Cuban,Deal Made,BC+MC,Barbara Corcoran,Mark Cuban,,,,FALSE,"As smartphones, tablets and other devices continue to multiply through our lives, electronics are fast becoming a significant portion of our waste products, one which most consumers are still learning how to manage responsibly. iReTron was created to help reduce electroncis waste by providing a convenient avenue for reuse. This service will help consumers sell, upgrade or recycle their latest iPhone, iPad or other device in a fast and easy way."
341,Boo Boo Goo,20,5,520,Baby and Child Care,,"Los Angeles, CA",Los Angeles, CA,http://booboogoo.com,100000,0.18,571429,Lori Greiner,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Mark Cuban,Deal Made,KOL,Kevin O'Leary,,,,,FALSE,"A new skin protectant that paints on a bandage, available in a range of skin tones and fun colors for kids. Boo Boo Goo protects skin from irritation and is environmentally-friendly."
342,Garage Door Lock,21,5,521,Home Security Solutions,,"Encinitas, CA",Encinitas, CA,http://elocksys.com,275000,0.3,916667,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,Deal Made,DJ,Daymond John,,,,,FALSE,"Garage doors are an overlooked security vulnerability in many homes, and Elocksys has created its patented Garage Door lock to help remediate that. The Garage Door Lock is a patented deadbolt locking system that uses rolling code technology. It responds only to your Elocksys-made remotes and no other store-bought alternatives."
